id,comments,news source,date,title,description,view,like
9JQYL097amk,"{""commentId"": ""UgxdRUeVB4Esh1Zk3Pl4AaABAg"" ""text"": ""https://www.ntd.com/2-officers-fighting-for-their-lives-after-ambush-shooting-trump-condemns-attack_506497.html   Has anyone heard about this on CNN or MSNBC?  Two Los Angeles county sheriff\u2019s deputies are fighting for their lives after being shot on Saturday in an ambush attack while sitting in their patrol car officials say.\nA 24-year-old male deputy and a 31-year-old female deputy were shot in the head and had multiple gunshot wounds. They are in critical condition and have undergone surgery.""}",MSNBC,2020-09-13,Donald Trump’s reported comment on armed service members -- allegedly calling them losers and suckers which the president denies -- is discussed by U.S. veterans running for Congress in 2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcU.S. Veterans Running For Congress Discuss Trump | MSNBC,merged,42669,1417
9JQYL097amk,"{""commentId"": ""UgzCLUFZ96JE46okT1t4AaABAg"" ""text"": ""*Does Trump hate our troops and veterans? Let\u2019s see:*\r\n\u2022 \u2060On July 31 2019 Trump ordered the Navy rescind medals to prosecutors who prosecuted war criminals\r\n\u2022 \u2060Trump denied a U.S. Marine of 6 years entry into the United States for his citizenship interview (Reported July 17 2019)\r\n\u2022 \u2060Trump used his D-Day interview at a cemetery commemorating fallen US soldiers to attack a Vietnam veteran (June 6 2019)\r\n\u2022 \u2060Trump made his 2nd wife Marla Maples sign a prenup that would have cut off all child support if Tiffany joined the military (reported June 4th 2019)\r\n\u2022 \u2060On May 27 2019 Trump turned away US military from his Memorial Day speech because they were from the destroyer USS John S. McCain\r\n\u2022 \u2060Trump ordered the USS John McCain out of sight during his visit to Japan (May 15 2019). The ship\u2019s name was subsequently covered. (May 27 2019)\r\n\u2022 \u2060Trump purged 200000 vets\u2019 healthcare applications (due to known administrative errors within VA\u2019s enrollment system) (reported on May 13 2019)""}",MSNBC,2020-09-13,Donald Trump’s reported comment on armed service members -- allegedly calling them losers and suckers which the president denies -- is discussed by U.S. veterans running for Congress in 2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcU.S. Veterans Running For Congress Discuss Trump | MSNBC,merged,42669,1417
9JQYL097amk,"{""commentId"": ""UgzrKY078fU_q6hf7x94AaABAg"" ""text"": ""*Does Trump hate our troops and veterans? Let\u2019s see:*\r\n\u2022 \u2060Trump blocked a veteran group on Twitter (June 2017)\r\n\u2022 \u2060Trump ordered the discharge of active-duty immigrant troops with good records (2017-present)\r\n\u2022 \u2060Trump deported veterans (2017-present)\r\n\u2022 \u2060Trump said Trump knows more about ISIS than American generals (Oct 2016)\r\n\u2022 \u2060On Oct 3 2016 Trump said vets get PTSD because they aren\u2019t strong (note: yes Trump said it\u2019s \u2018because they aren\u2019t strong.\u2019 Trump didn\u2019t say it\u2019s \u2018because they\u2019re weak.\u2019 This distinction is important because of Snopes)\r\n\u2022 \u2060Trump accepted a Purple Heart from a fan at one of his rallies and said: \u201cI always wanted to get the Purple Heart. This was much easier.\u201d (Aug 2 2016)\r\n\u2022 \u2060Trump attacks Gold Star families: Myeshia Johnson (gold star widow) Khan family (gold star parents) etc. (2016-present)""}",MSNBC,2020-09-13,Donald Trump’s reported comment on armed service members -- allegedly calling them losers and suckers which the president denies -- is discussed by U.S. veterans running for Congress in 2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcU.S. Veterans Running For Congress Discuss Trump | MSNBC,merged,42669,1417
9JQYL097amk,"{""commentId"": ""UgxWGw3GrmbZLDi8io14AaABAg"" ""text"": ""*Does Trump hate our troops and veterans? Let\u2019s see:*\r\n\u2022 \u2060Trump canceled an Arlington Cemetery visit on Veterans Day due to light rain (Nov 12 2018)\r\n\u2022 \u2060While in Europe commemorating the end of WWI Trump didn\u2019t attend the ceremony at a US cemetery due to the rain \u2013 other world leaders went anyway (Nov 10 2018)\r\n\u2022 \u2060Trump changed the GI Bill through his Forever GI Act causing the VA to miss veteran benefits including housing allowances. This caused many vets to run out of food and rent. (reported October 7 2018)\r\n\u2022 \u2060Trump doubled the rejection rate for veterans requesting family deportation protections (July 5 2018)\r\n\u2022 \u2060Trump deported active-duty spouses (11800 military families face this problem as of April 2018)\r\n\u2022 \u2060Trump forgot a fallen soldier\u2019s name (below) during a call to his pregnant widow then attacked her the next day (Oct 23-24 2017)\r\n\u2022 \u2060Trump sent commandos into an ambush due to a lack of intel and sends contractors to pick them up resulting in a commando being left behind tortured and executed. (Trump approved the mission because Bannon told him Obama didn\u2019t have the guts to do it) (Oct 4 2017)""}",MSNBC,2020-09-13,Donald Trump’s reported comment on armed service members -- allegedly calling them losers and suckers which the president denies -- is discussed by U.S. veterans running for Congress in 2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcU.S. Veterans Running For Congress Discuss Trump | MSNBC,merged,42669,1417
9JQYL097amk,"{""commentId"": ""UgyIU3-d1s-ZUtAIaAp4AaABAg"" ""text"": ""Trump is a veteran of the disco wars and KFC invasions.....""}",MSNBC,2020-09-13,Donald Trump’s reported comment on armed service members -- allegedly calling them losers and suckers which the president denies -- is discussed by U.S. veterans running for Congress in 2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcU.S. Veterans Running For Congress Discuss Trump | MSNBC,merged,42669,1417
ILQiVShMJx8,"{""commentId"": ""Ugw0Mj6B1U222cK6xgN4AaABAg"" ""text"": ""I don't trust drugged out criminals attacking police.""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""Ugxpy5IvC_pjegd3NXZ4AaABAg"" ""text"": ""Isn't she the person who denied Armenian genocide. My god!""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""UgwreiC5lmXTKtieAL14AaABAg"" ""text"": ""How did these people vote this woman in? and Why?...she is a immigrant!!!!! and she hates this country!!!!!! What is wrong with they people in Minneapolis...Progressive district means immigrants!!!! I know a community of \""Americans\"" did not vote this woman into congress....Too many Illegal immigrants and too many American hating immigrants are allowed to come into this country!!! this is what happens when you allow too much immigration into this country...Thanks to the Obama administration all these immigrants were allowed to enter this country....legally and illegally.....too many...trump had to be elected of this country will be full of illegal immigrants...more than now!!!! there are millions that have already invaded this country illegally.....""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""Ugy0VFzI60Uk6cu6lyV4AaABAg"" ""text"": ""If Trump loses the election then America as you know it is DONE. Trump is the last hope for this red white and blue. You may not understand whats in the workings. They have tried for the last 4 yrs to get him out and failed. Remember He is the only president in the last 40 yrs not to invade other nation starting a war. Politicians talk and nothing get done. Media needs to make honesty their to priority not ratings for $$ and clicks""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""UgyXKlVnYo8ju47oZ8V4AaABAg"" ""text"": ""Cops don't need armored vehicles. Cops don't need attack choppers. Reduce spending on police and instead use that money to fund social programs that help to prevent crimes from happening in the first place. Prevention instead of punishment.""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""UgyLg21HaAcvTzEgBxV4AaABAg"" ""text"": ""She comes to our country as a refugee we bring her in with arms wide open and all she does is attack America attack Jewish people and attack our police she needs to be kicked out of Congress immediately!""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""UgykgGmXnQtGk0ThqR14AaABAg"" ""text"": ""I'm here for the comment battle.\nOver the years it's become a part of my routine. I can't help but be attracted to the controversy and post my brilliant yet egotistical thoughts. I don't know how else to process the worry anger and voicelessness. I understand that engaging in the battle exacerbates this cancer growing in me but if I try to keep it inside I have panic attacks that last hours.""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""UgwUQL92UrC84OGkC9B4AaABAg"" ""text"": ""I know that I believe that they are definitely justified!  Been picked up as a black male short hair fitting the description when I was 9 months pregnant in a red dress and hair past my shoulders!  The reasons for trusting the police have been increasing and their response of violence against nonviolent protesters not looters arsonists and vandals! I saw a video of protesters in Oregon being beaten with bats and the police were hugging the attackers a right wing violent group!""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
ILQiVShMJx8,"{""commentId"": ""Ugxx1_ZAUDxycthQtUl4AaABAg"" ""text"": ""Omar has zero credibility hypocrite and an ISIS sympathiser openly defending Turkey\u2019s position   of supporting ISIS and in creating massacres in Syria Iraq attacking Greece and the region.""}",MSNBC,2020-09-13,Rep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,Democratic Rep. Ilhan Omar of Minnesota says Minneapolis leaders are developing an approach to public safety that doesn’t discriminate by skin color or ZIP code in the aftermath of George Floyd’s murder.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcMSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcRep. Ilhan Omar: ‘The Majority Of People in Minneapolis Don’t Trust The Police’ | MSNBC,108283,2260
