id,comments,news source,date,title,description,view,like
taHoZwl3jmY,"{""commentId"": ""Ugx2m2_rAtocOew0g6t4AaABAg"" ""text"": ""Imagine if this president attacked COVID-19 in February/March (with all the intelligence and evidence) like he is attacking Mail voting (despite lack of evidence or intelligence to support). #thinkaboutit.""}",MSNBC,2020-09-25,Trump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,After the president refused to commit to a peaceful transfer of power we take a look back at the attacks he's been issuing on the election for weeks. Shannon Pettypiece and Maya Wiley react. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,88559,1669
taHoZwl3jmY,"{""commentId"": ""UgyQ5dwZDxab9k6ahDV4AaABAg"" ""text"": ""Trump follows through with his threats and attacks but not with his promises for a better America. Humm""}",MSNBC,2020-09-25,Trump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,After the president refused to commit to a peaceful transfer of power we take a look back at the attacks he's been issuing on the election for weeks. Shannon Pettypiece and Maya Wiley react. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,88559,1669
taHoZwl3jmY,"{""commentId"": ""Ugwc_mjTdKc5jZVStXF4AaABAg"" ""text"": ""Good thing about all of Trump's continuous rallies is that the Democrats get to hear his attacks and positions on ridiculous nonsense like mail-in ballots meaning the election is 'rigged'. If they are wise they will have their arguments and facts in place concerning the fairness and long history of mail-in ballots and how Trump is using this as his excuse should he lose this election. I hope Biden and his campaign are listening and preparing carefully and have their counter arguments ready to discredit Trump's hyperbole.""}",MSNBC,2020-09-25,Trump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,After the president refused to commit to a peaceful transfer of power we take a look back at the attacks he's been issuing on the election for weeks. Shannon Pettypiece and Maya Wiley react. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,88559,1669
taHoZwl3jmY,"{""commentId"": ""Ugzln0AVUbl35GMlTLZ4AaABAg"" ""text"": ""Donald's attack on our election actually started in late June when Caroline Hunter (R) resigned from the Federal Election Commission.\nHis plan to delegitimise the election began when he refused to fill any of the THREE vacancies on the SIX member Board of Commissioners at the Federal Election Commission and since a quorum of FOUR members is required to investigate illegal campaign contributions voting irregularities etc. the FEC will be unable to respond to Trump's accusations of cheating or to provide evidence of a fair election.""}",MSNBC,2020-09-25,Trump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,After the president refused to commit to a peaceful transfer of power we take a look back at the attacks he's been issuing on the election for weeks. Shannon Pettypiece and Maya Wiley react. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,88559,1669
taHoZwl3jmY,"{""commentId"": ""UgyPfU4wnjlRJrea2Ut4AaABAg"" ""text"": ""Trump's election attacks constitute sedition.""}",MSNBC,2020-09-25,Trump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,After the president refused to commit to a peaceful transfer of power we take a look back at the attacks he's been issuing on the election for weeks. Shannon Pettypiece and Maya Wiley react. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcTrump's Been Ramping Up His Election Attacks For Over A Month | The 11th Hour | MSNBC,88559,1669
SGz1_8lZdGo,"{""commentId"": ""UgxX97a_fRWt2tAkVB54AaABAg"" ""text"": ""(AGAIN I DO NOT SHOUT I JUST HIGHLIGHT!) OH SLEEPY JOE BIDEN WHAT A LIAR YOU ARE COMPLETELY BOUGHT BY FOREIGN POWERS!!! JOE BIDEN IS A CROOKED POLITICIAN:\n---WHO HAS BEEN BOUGHT BY CHINA: HUNTER BIDEN RECEIVED SEVERAL BILLIONS TO MANAGE FROM A CHINESE COMPANY WHO IS CONTROLLED BY THE CHINESE GOVERNMENT. WHAT QUALIFICATIONS HUNTER BIDEN HAS AT MANAGING MONEY? NONE!!\n--> HERE \""The troubling reason why Biden is so soft on China\"" at https://nypost.com/2019/05/11/the-troubling-reason-why-biden-is-so-soft-on-china/ \n---WHO HAS BEEN BOUGHT BY UKRAINE: HUNTER BIDEN WAS PAID MONTHLY BIG AMOUNT OF MONEY TO SHOW HIS INCOMPETENT FACE ON A UKRAINIAN COMPANY'S BOARD OF DIRECTORS WHEN HE DOES NOT SPEAK UKRAINIAN AND HE HAS NO KNOWLEDGE OF THE GAS BUSINESS!!! WHAT QUALIFICATIONS HUNTER BIDEN HAS IN RELATION TO THE GAS BUSINESS? NONE!!\n--> HERE \""Senate Republicans release explosive report on Hunter Biden Burisma\"" at https://nypost.com/2020/09/23/gop-senators-release-explosive-report-on-hunter-biden-burisma/  \n---WHO HAS BEEN BOUGHT BY RUSSIA: HUNTER BIDEN RECEIVED $3.5 MILLION FROM A RUSSIAN WOMAN BILLIONAIRE!!!  WHAT DID HUNTER BIDEN DID TO RECEIVE SUCH A BIG AMOUNT OF MONEY? NOTHING!!\n--> HERE \""Hunter Biden received $3.5M wire transfer from Russian billionaire: Senate report\"" at https://nypost.com/2020/09/23/hunter-biden-received-3-5m-from-russian-billionaire-report/ \n---YOU DON'T BELIEVE ME? PLEASE CHECK IT OUT YOURSELF USING GOOGLE DOT COM!! THAT IS AS SIMPLE AS THAT!! ALL THESE TRUE FACTS ARE IN THE OPEN ON THE INTERNET FOR ALL TO SEE!!! \nAND AMERICANS ARE SUPPOSED TO ACCEPT SUCH A CROOKED POLITICIAN SLEEPY JOE BIDEN AS THEIR PRESIDENT??!! \n\nTRUMP CAN'T BE BOUGHT AND HE FOUGHT THE PHARMACEUTICAL COMPANIES TO LOWER THE PRICES OF VARIOUS DRUGS FOR THE BENEFITS OF AMERICAN PATIENTS!!! INSULIN AND MANY OTHER DRUGS WILL DECREASE IN COST BY MORE THAN 80%!! THAT IS WHAT TRUMP DID AMONG MANY OTHER THINGS!!!\n---YOU DON'T BELIEVE ME? PLEASE CHECK IT OUT YOURSELF USING GOOGLE.COM!! \n--> HERE \""| President Donald J. Trump's Accomplishments\"" AT https://www.promiseskept.com/recent/  \n--> HERE \""Trump Administration Accomplishments | The White House\"" AT https://www.whitehouse.gov/trump-administration-accomplishments/  \nGO TO THE WHITE HOUSE WEB SITE AND SEE THE VERY LONG LIST OF ACCOMPLISHMENTS THAT TRUMP HAS DONE!!! IT IS HARD TO BELIEVE HE COULD BE SO PRODUCTIVE WHILE HE WAS AT THE SAME TIME CONSTANTLY ATTACKED BY THE SOCIALIST-DEMOCRATS AND THE FAKE NEWS MEDIA (CNN AND ALL EXCEPT FOXNEWS) WITH COMPLETELY BOGUS HOAXES CREATED FALSELY BY THE SOCIALIST-DEMOCRATS!!\n\nTWO OPTIONS AVAILABLE FOR AMERICANS: \n1) WITH DONALD TRUMP: ECONOMIC PROSPERITY AND JOBS FOR ALL AMERICANS ESPECIALLY FOR MINORITIES LOW TAXES OPPORTUNITIES FOR ALL; AND \n2) WITH SLEEPY JOE BIDEN: ECONOMIC RECESSION LACK OF JOBS HIGHER TAXES INFLATION THE US WOULD BE SOLD TO FOREIGN COUNTRIES THROUGH VARIOUS ACCORDS (PARIS ACCORDS TRADE AGREEMENTS FAVORING OTHER COUNTRIES INSTEAD OF THE US ETC.) AND THE PROSPECT OF TRANSFORMING THE US INTO A NEW VENEZUELA!!! \nMORE SLEEPY JOE BIDEN WOULD NOT BE THE PRESIDENT (HE CAN BARELY WALK PROPERLY AND WHEN HE DOES HE WALKS LIKE IF HE HAD PARKINSON; HE CONSTANTLY NEEDS TO REST; PHYSICALLY AND EVEN MENTALLY HE IS UNFIT TO BE PRESIDENT) IT WOULD BE KAMALA HARRIS BERNIE SANDERS AOC AND THE OTHER SQUAD MEMBERS ALL SOCIALIST-COMMUNIST-DEMOCRATS ACTING AS PRESIDENT NOT SLEEPY JOE BIDEN!!!\nTHE CHOICE IS YOURS AND IT COULD NOT BE CLEARER!!! IT IS A NO-BRAINER!!!\n--> HERE \""Beware the Biden-Sanders radical lefty manifesto: Devine \"" AT https://nypost.com/2020/07/19/beware-of-biden-sanders-radical-lefty-manifesto-devine/ \n\n---WHAT SLEEPY JOE BIDEN HAS ACCOMPLISHED FOR 47 YEARS EXCEPT FILLING IN HIS POCKETS AND ESPECIALLY HIS CHILDREN'S POCKETS WITH MONEY??!! AND WORSE SLEEPY JOE BIDEN HAS CONNED THE AMERICAN PEOPLE FOR 47 YEARS WITH FALSE PROMISES THAT WERE NEVER KEPT!!! TRUMP MADE PROMISES THAT HE NOT ONLY KEPT BUT HE EVEN KEPT MORE PROMISES THAN HE EVEN MADE!! THAT IS A FIRST!!! THAT IS THE DIFFERENCE BETWEEN A PROFESSIONAL CROOKED POLITICIAN LIKE SLEEPY JOE BIDEN AND A BUSINESSMAN LIKE PRESIDENT DONALD TRUMP THE BEST PRESIDENT THE US HAS EVER SEEN SINCE ITS CREATION.\nTHE TIME TO CON THE AMERICAN PEOPLE LIKE SLEEPY JOE BIDEN DID FOR 47 YEARS IS OVER!! THE AMERICAN PEOPLE SEES THROUGH SLEEPY JOE BIDEN'S INCOMPETENCE VERY CLEARLY AND THEY ALSO SEE HIS REALLY BAD RECORD OF WHAT HE DID NOT DO FOR 47 YEARS!!\nSLEEPY JOE BIDEN ALWAYS SAYS THAT HE WILL DO THIS OR THAT!!! BUT WHY ON EARTH DID HE NOT DO THESE THINGS FOR 47 YEARS ESPECIALLY FOR 8 YEARS WITH HIS INCOMPETENT AWFUL FORMER PRESIDENT HUSSEIN OBAMA??!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\n--> HERE \""Will Black Voters Still Love Biden When They Remember Who He Was?\"" at https://nymag.com/intelligencer/2019/03/joe-biden-record-on-busing-incarceration-racial-justice-democratic-primary-2020-explained.html""}",MSNBC,2020-09-25,Why The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,Fmr. aide to Pres. Obama David Plouffe joins to explain why he thinks the first debate between Joe Biden and Donald Trump may be the most consequential night of the rest of the 2020 campaign. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcWhy The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,24644,427
SGz1_8lZdGo,"{""commentId"": ""UgyycmKc58WRbER0z-x4AaABAg"" ""text"": "".FBI announcement about potential misinformation about election results:  https://www.ic3.gov/media/2020/200922.aspx  \r\nFBI & CISA Public Service Announcement\r\nSeptember 22 2020\r\n\r\nAlert Number\r\nI-092220-PSA\r\nQuestions regarding this PSA should be directed to your local FBI Field Office.\r\n\r\nLocal Field Office Locations: www.fbi.gov/contact-us/field-offices\r\n\r\nFOREIGN ACTORS AND CYBERCRIMINALS LIKELY TO SPREAD DISINFORMATION REGARDING 2020 ELECTION RESULTS\r\nThe Federal Bureau of Investigation (FBI) and the Cybersecurity and Infrastructure Security Agency (CISA) are issuing this announcement to raise awareness of the potential threat posed by attempts to spread disinformation regarding the results of the 2020 elections. Foreign actors and cybercriminals could create new websites change existing websites and create or share corresponding social media content to spread false information in an attempt to discredit the electoral process and undermine confidence in U.S. democratic institutions.\r\n\r\nState and local officials typically require several days to weeks to certify elections\u2019 final results in order to ensure every legally cast vote is accurately counted. The increased use of mail-in ballots due to COVID-19 protocols could leave officials with incomplete results on election night. Foreign actors and cybercriminals could exploit the time required to certify and announce elections\u2019 results by disseminating disinformation that includes reports of voter suppression cyberattacks targeting election infrastructure voter or ballot fraud and other problems intended to convince the public of the elections\u2019 illegitimacy.\r\n\r\nThe FBI and CISA urge the American public to critically evaluate the sources of the information they consume and to seek out reliable and verified information from trusted sources such as state and local election officials. The public should also be aware that if foreign actors or cyber criminals were able to successfully change an election-related website the underlying data and internal systems would remain uncompromised.\r\n\r\nRECOMMENDATIONS\r\nSeek out information from trustworthy sources such as state and local election officials; verify who produced the content; and consider their intent.\r\nVerify through multiple reliable sources any reports about problems in voting or election results and consider searching for other reliable sources before sharing such information via social media or other avenues.\r\nFor information about final election results rely on state and local government election officials.\r\nReport potential election crimes\u2014such as disinformation about the manner time or place of voting\u2014to the FBI.\r\nIf appropriate make use of in-platform tools offered by social media companies for reporting suspicious posts that appear to be spreading false or inconsistent information about election-related problems or results.\r\nThe FBI is responsible for investigating malign foreign influence operations and malicious cyber activity targeting election infrastructure and other U.S. democratic institutions. CISA is responsible for protecting the nation\u2019s critical infrastructure from physical and cyber threats. The FBI and CISA provide services and information to uphold the security integrity and resiliency of the U.S. electoral processes.\r\n\r\nVICTIM REPORTING AND ADDITIONAL INFORMATION\r\nThe FBI encourages victims to report information concerning suspicious or criminal activity to their local field office (www.fbi.gov/contact-us/field-offices). For additional assistance and best practices and common terms please visit the following websites:\r\n\r\nProtected Voices: www.fbi.gov/investigate/counterintelligence/foreign-influence/protected-voices\r\nElection Crimes and Security: www.fbi.gov/scams-and-safety/common-scams-and-crimes/election-crimes-and-security\r\n#Protect2020: www.cisa.gov/protect2020""}",MSNBC,2020-09-25,Why The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,Fmr. aide to Pres. Obama David Plouffe joins to explain why he thinks the first debate between Joe Biden and Donald Trump may be the most consequential night of the rest of the 2020 campaign. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcWhy The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,24644,427
SGz1_8lZdGo,"{""commentId"": ""UgzH8XPIW-ZDAZ1ooll4AaABAg"" ""text"": ""biden is clearly not up to this does not have enough energy to withstand the attacks and pressure trump has had to endure which is now precedent thanks to the dems""}",MSNBC,2020-09-25,Why The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,Fmr. aide to Pres. Obama David Plouffe joins to explain why he thinks the first debate between Joe Biden and Donald Trump may be the most consequential night of the rest of the 2020 campaign. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The 11th Hour with Brian Williams: Brian Williams delivers the latest updates on evolving news stories and places the major political events of the day into context for viewers. Broadcast live from New York Williams' show convenes a dynamic panel of guests to offer a forward-thinking look at the critical stories that are expected to drive the conversation the following morning. Williams has also anchored MSNBC's special coverage around key political events and major breaking news stories as they occur domestically and around the world.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcWhy The First Biden-Trump Debate May Be The Most Important One | The 11th Hour | MSNBC,24644,427
Vqsw7F5h9sU,"{""commentId"": ""UgyhmFUlKJUn_rPnHLd4AaABAg"" ""text"": ""trump MUST be REMOVED from office PHYSICALLY right NOW for the crime of initiating a riot!!!!  His followers are getting his message that if he loses to DESTROY THE COMPETITION!!!! with military force.\n\nHow can the military stand by and DO NOTHING when our country is being ATTACKED from within by DOMESTIC TERRORISTS!!!!!\n\ntrump and addison mitchell mcconnell jr. are the leaders of the anarchists!!!!!!!!!!!!!!!!!""}",MSNBC,2020-09-25,Polling Poorly Trump Runs Against Election Itself & Supporters Follow Suit | Rachel Maddow | MSNBC,Rachel Maddow notes that as the prospects for Donald Trump to win a legitimate re-election appear increasingly dim Trump and his supporters in Congress and the media are running a campaign against the integrity of the election and U.S. democracy. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The Rachel Maddow Show: Through her unique approach to storytelling Rachel Maddow provides in-depth reporting to illuminate the current state of political affairs and reveals the importance of transparency and accountability from our leaders. Maddow seeks to explain our complex world and deliver news in a way that's illuminating and dynamic connecting the dots to make sense of complex issues. Maddow also conducts interviews with individuals at the center of current news stories to provide important perspective.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcPolling Poorly Trump Runs Against Election Itself & Supporters Follow Suit | Rachel Maddow | MSNBC,252007,5056
Vqsw7F5h9sU,"{""commentId"": ""UgzZkpLUZM4SOzGU_wd4AaABAg"" ""text"": ""Wake up America! Putin had his opponent thrown in jail for no good or legitimate cause so that he couldn't oppose him. sound familiar with his chant lock her up? just insert trump instead of putin. And all the dirt they are trying to dig up on Biden? Putin's goons have already proven they've got nothing. That's why they had to try to attack Biden's son last go around! I have never witnessed such a liar every time he speaks to his lost souls that can't recognize the devil in sheep's clothing. It's embarrassing to think there are so many stupid people here in America!""}",MSNBC,2020-09-25,Polling Poorly Trump Runs Against Election Itself & Supporters Follow Suit | Rachel Maddow | MSNBC,Rachel Maddow notes that as the prospects for Donald Trump to win a legitimate re-election appear increasingly dim Trump and his supporters in Congress and the media are running a campaign against the integrity of the election and U.S. democracy. Aired on 09/24/2020.» Subscribe to MSNBC: http://on.msnbc.com/SubscribeTomsnbcAbout The Rachel Maddow Show: Through her unique approach to storytelling Rachel Maddow provides in-depth reporting to illuminate the current state of political affairs and reveals the importance of transparency and accountability from our leaders. Maddow seeks to explain our complex world and deliver news in a way that's illuminating and dynamic connecting the dots to make sense of complex issues. Maddow also conducts interviews with individuals at the center of current news stories to provide important perspective.MSNBC delivers breaking news in-depth analysis of politics headlines as well as commentary and informed perspectives. Find video clips and segments from The Rachel Maddow Show Morning Joe Meet the Press Daily The Beat with Ari Melber Deadline: White House with Nicolle Wallace Hardball All In Last Word 11th Hour and more.Connect with MSNBC OnlineVisit msnbc.com: http://on.msnbc.com/ReadmsnbcSubscribe to MSNBC Newsletter: http://MSNBC.com/NewslettersYouTubeFind MSNBC on Facebook: http://on.msnbc.com/LikemsnbcFollow MSNBC on Twitter: http://on.msnbc.com/FollowmsnbcFollow MSNBC on Instagram: http://on.msnbc.com/InstamsnbcPolling Poorly Trump Runs Against Election Itself & Supporters Follow Suit | Rachel Maddow | MSNBC,252007,5056
